Description,Category (Category) (Category),Intent
"Which feature, specifically, from the product is this tied to?
MigHub on FTC portal
What is the problem/idea?
In light of recent incidents and issues that had a customer impact, customers have been asking for a way to be aware of upcoming maintenance, or operations that could impact their migration events.
What are they trying to do/achieve and/or what problem is encountered?
Gain awareness of potential disruption so they can plan accordingly and delay migration batches that would fall in risky periods.

Why is solving the problem important?
Transparency in our maintenance and issues increases customer trust in our solutions
What impact is the issue having?
Customer is unaware of service health condition and cannot schedule their migrations efforts accordingly.

Proposed solution (optional):

Have a service health dashboard where high-level info is provided to customer potentially impacted by service maintenance, outages, or issues.

CDO reviewed",Migration,CDO - Configure
"What idea are you suggesting? 
Task is incomplete, as it instructs the FM to walk through the workshop deck with the customer. However, there is no workshop deck or any other resources available, thus I am not sure if this task is set to be removed or revamped? 
How would you implement this? Update task details and links with the relevant information and deck. 
What measurable impact would this idea have? (hours per week or month) 
It would help the person who should be delivering it prepare accordingly and have the deck handy to use in the customer call. 
CDO review ",Playbook & Process,CDO - Learn
"
Problem: The customer has mentioned 3 items that Crowdstrike is offering them in their POC that we aren't:


1)Perform POCs in production environment


2) They do POC's in 3 days. They are flexible in their scheduling and also customize the days based on user customizations


3) They have a list of modules and use cases that they can individually test with customers.They have success criteria packages that align with the outcomes a customer's needs. They take things like MITRE top 10 ransomeware or anything else by request to detonate for their customers in the production POC to ensure it can defend.


Impact: This is losing POC customers and currently the ATU is doing their best to match this.


Solution: Create 2 options of POC one in a provided lab, one can be done in production



CDO reviewed

",Proof of Concept (PoC),CDO - Learn
"
While working on POCaaS engagements, customers generally compares MDE feaatuers with compete products .e.g Crowdstrike, Tanalbe etc. 
 
 
 
A document with summary of Key features, unique capabilities where MDE is stronger than compete products will help SMEs to highlight those features and showcase benefits of our security products. 
 
This is applicable for all security workloads (MDO, MDE, MDA, MDI) 
 
We have an internal compete resource, however it is lengthy, it will be easier if we can have Key features summarised in a document. 
 
Microsoft Defender for Endpoint - CSCompeteNinja (sharepoint.com)



CDO reviewed 

",Proof of Concept (PoC),CDO - Learn
"


In the email setup guide ADG when selecting migrating from Google Workspace we have only a brief documentation without any links on how to achieve it.



We should have:


A link toPerform a Google Workspace migration to Microsoft 365 | Microsoft Learn


Tasks linked to the prerequisites




Create a subdomain to route mail to Google Workspace




Create a subdomain for mail routing to your Google Workspace domain




Provision Microsoft 365 mail users




Verify Google migration administrator role assignments

 



And this for the migrationAutomated batch migration from Google Workspace to Microsoft 365 overview | Microsoft LearnandMigrate mail from Google Workspace to Microsoft 365 (automated method) | Microsoft Learn


We should have a link to Exchange migration manager like we have for hybrid move then



CDO reviewed




 



 
",Migration,CDO - Prepare
"


Feedback sourced from VOC Customer Phone Survey ID: 202006 


Have concrete cases in presentations to better visualize the possibilities and integrations. 


 Translated from French&gt; 


CES Score: 2 

 

CDO reviewed 



 



 
",Playbook & Process,"CDO - Prepare,CES VOC FY24"
"  Feedback sourced from VOC Customer Phone Survey ID: 402015       Bought licensing for SSPR and cut company tickets for Password reset without being on VPN, but they are currently hybrid and must be all on Azure cloud. Documentation and sales were not clear on environment requirements and selling features they were not ready to deploy.   CDO reviewed       ",Documentation,CDO - Learn
"
Feedback sourced from VOC Customer Phone Survey ID: 402003 


When asked if they used the advanced deployment guide (IPE), customer responded that they were unaware it existed. 

 

CDO REviewed 
",Communications,CDO - Learn
"

Feedback sourced from VOC Customer Phone Survey ID: 402007 
 
 

IPE Feedback: Customer shared that the Advanced Deployment Guides (ADG) did speed up the process of migration, however they still wanted advice as not all the questions they had were in the ADG. It helped the customer because they work with smaller customers  100 seats. 

 

 



CDO reviewed 



 
",Communications,CDO - Learn
"
Feedback sourced from VOC Customer Phone Survey ID: 402005 


IPE Feedback: Customer shared that they found the wizards useful as they were setting up Teams phone hunt groups and it explained everything they needed to do which they were unaware of needing to be done. 

 

CDO reviewed 
",Communications,CDO - Learn
"

Feedback sourced from VOC Customer Phone Survey ID: 402017 


IPE - Advanced Deployment Guide for Surface Hub reduced the effort to provision the first Surface Hub as it was simple to use. 



CDO reviewed 
",Communications,CDO - Configure
"


Feedback sourced from VOC Customer Phone Survey ID: 402001 


The FastTrack Team has been fantastic, very flexible, and knowledgeable. They are also willing to reach out to other team members if they don’t have the answers to find the answers. It has been a great avenue to solve some issues we have been having and to get some other technologies out in our environment. 

 

CDO reviewed 



 



 
",Field / FastTrack Integration,CDO - Configure
"


Feedback sourced from VOC Customer Phone Survey ID: 402015 


FastTrack responded to RFA within 24 hours and he felt that was really positive. 

 

CDO reviewed 



 



 
",Tool - RFA form,CDO - Learn
"


Feedback sourced from VOC Customer Phone Survey ID: 402005 


Customer stated when asked if it was easier to deploy Micrsosoft 365 through the pilot ""So first they've done a brilliant job so far to bring me, give me confidence in that I'm talking to the right people in order to move our Teams for Phone PSTN services. That is priceless"" 


""Those 20% use case and FastTrack have been instrumental in making sure I understand the challenges in those locations and understand the caveats involved well around what what Microsoft can and can't do another now."" 


Customer share that they didnot do much self research, but they didn't think they needed to as they had expertise on hand. ""It's been very valuable for us to do this project and I can't imagine you if you didn't have this option, this project would definitely not been taking place at the speed it is right now."" 

 

CDO reviewed 



 



 
",Field / FastTrack Integration,CDO - Enable
" Feedback sourced from VOC Customer Phone Survey ID: 402011    POC worked with  Partner Name&gt; before in FastTrack and had an amazing experience. Their technical experience in MDE was incredible. ""If we didn't work with the partner, we would've been one of the companies in the news for being hacked"". We had huge security gaps, and the partners sped up the engagement/deployment 10-fold. Our user based isn't the most technical savvy, so it was critical for us to get this right because people are clicking phishing emails all the time.    Knowledge transfer and change management has also been amazing from the partner perspective, helping our technical staff get familiar with the solution, and we are now all experts in MDE. The settings we have configured in Defender is exactly tailored to our company and our demographic. They were perfectly matched to our technical needs.      CDO reviewed     ",FastTrack Partner,CDO - Enable
"

Feedback sourced from VOC Survey ID: 202004 


Since FastTrack may not be able to answer more detailed issues and you may need to contact support, it would be more appreciated if you could answer from FastTrack who can talk directly. 


In addition, there are cases where it is not supported, such as Azure area and on-premise area, so it would be appreciated if you could respond to the worries of MS products in general. [Translated from Japanese] 

CDO reviewed

 
",Field / FastTrack Integration,CDO - Learn
"

Feedback sourced from VOC Survey ID: 601003 


Microsoft implementation guides are not user friendly and are outdated. 

 

CDO reviewed 



 
",Communications,CDO - Learn
"
Feedback sourced from VOC Customer Phone Survey ID: 402011 


Would like to see a formal disengagement plan, rather than the steep drop-off as we see now. Perhaps hand off documentation, etc. 

 

CDO reviewed 
",Playbook & Process,CDO - Learn
"


Feedback sourced from VOC Customer Phone Survey ID: 402009 


There is a big gap between the technical implementation and user adoption materials. That middle piece of the business partners and getting them hooked in, that is missing. There is a big stakeholder piece in the middle because that stakeholder piece is focusing on what are your business problems but we don’t want to know what our problems are, we know what the solution is. We want to sell to them what the solution is (Viva Learning). Then showcase Viva Learning and get them really hooked on Viva Learning, what it can do for them, how it can be used in their parts of the business, how they can sponsor usage across the business globally. 


That middle piece of senior business adopters is missing. You need those people across the business to really get it, love it and want to sell it into the business. It is a big miss in the current Microsoft adoption approach. Need to make sure it positioned not as “what are your problems and we’ve got a good idea for a solution”, but it needs to be positioned “this is rolling out into your business, let us show you why”. It is a different lens. That is the bit that is missing. Somebody like me is somebody who is trying to push this into the business, those are the slide decks that I was missing, helping me sell it into the business. 



CDO reviewed 



 
",Playbook & Process,CDO - Enable
" What idea are you suggesting?    FastTrack needs to better partner with the field/STU/ATU to ensure new to role resources understand how to partner with FastTrack. I've run into a lot of resources recently who are new to role, and have little understanding of FastTrack, its roles and its capabilities. For many years, FastTrack has been talking about ""Landing the benefit"" with the field. FastTrack and the MWA/FTA role have been in place for many years, so there should be a significant understanding of what FastTrack provides. This will lead to quicker engagement with the customer when they have needs FastTrack can provide, to speed deployment of M365 capabilities.    How would you implement this?    Work with the resources responsible for the field training content, and help to make sure they're including content specific to FastTrack + Field partnership.    What measurable impact would this idea have? (hours per week or month)    This type of knowledge would better facilitate cross team collaboration, and get customers the resources they need faster, speeding deployments.      CDO reviewed     ",Field / FastTrack Integration,CDO - Learn
" The SPMT Manager tool is used in the NHS file migration project, alongside the SPMT tool to migrate.    Currently with any bad error that the customer receives during the migration then the migration team uploads the fatalerror.csv file to the collaboration site.    this file is of a little use to the customer as it contains the TaskID, but no way to translate it.     Solution is to use the ""Summary Report"" and the ""ItemFailure Report"" to cross reference and then supply a clear indication to the custome of which line in the schedule file has a particular error      CDO reviewed     ",Migration,CDO - Prepare
"After being logged out of the Compliance test tenant and logging back in, the UI is defaulting to the ADG space instead of logging into the portal home page. This is happening within the private Window, so there should not be a full cache of activity 

The link provided is https://go.microsoft.com/fwlink/?linkid=2243889- after login information is entered it is redirecting to https://portal-sdf.office.com/adminportal/home?pkgver=PR_230825.132_V2#/SetupGuidance/DeploymentGuides 

A log out should have cleared the cache related to the portal, and redirected to the proper location. We should not be making an assumption that the ADG space is where the user wants to go each time they login. 

Steps to Reproduce: Samantha Marsh 

Using a browser where I am signed into my Microsoft OWA, and a PPT that requires my Microsoft alias, I thin logged into the SDF Compliance tenant provided, not using in private mode. I was able to enter the required account, navigate to and leverage the AAC. 

Closed the corresponding tab, but left the browser running with the first 2 tabs shown below. Opened a new tab and tried opening a new browser window, navigating back to the specific tenant. Upon logging in with the same account previously used, the ADG area opened and not the default home page for the admin tenant. Do we want to assume this is where people want to land each time they log into the admin portal after closing a tab/window? The only way to have the admin page load to home, was to sign out, close all browser windows and sign back in. 

One thing.....I am provided the test tenant URL - for all I know that is setup to default to a specific location. 
CDO reviewed 

 
",Communications,CDO - Learn
"Presently, we lack a guide or assessment for a customer to understand their information protection and governance readiness to move forward with Copilot. Customers who have been nominated and extended invitations to participate in the Copilot Early Access Program (EAP) have regularly expressed this concern and are seeking an understanding on how to verify their implementation of information protection and governance policies before enabling Copilot for their users. 
 
The current Microsoft 365 Copilot setup guide (ADG) only includes guidance on requirements/pre-requisites to assign licenses and enable Copilot features. However, a common slide presented by CSU SMEs is the ""Optimized for Microsoft 365 Copilot"" recommendations (images attached). Optimizations include Information Protection Labeling, Content / Data Migration for Semantic Indexing, SharePoint Site Restrictions, Access Reviews, Data Loss Prevention, and Retention Policies. 
 
This slide would be much less overwhelming if we had an Advanced Deployment Guide that walks the customer through steps to verify their data is protected. Customers could leverage an ADG with all resources listed in one location so they are not scrambling to understand how to enable all of the optimizations and can track progress of each item. This could save time for our customers and our FastTrack team who spend countless hours looking for documentation and resources. 
 
For example, a DSE shared the steps below with one of my customers. This items can be expanded upon to create an ADG on ""Optimized for Microsoft 365 Copilot"". Additionally, existing ADGs can be referenced within the new Optimized for Copilot ADG. 
UtilizeContent Explorerto view sensitive information in Exchange,SharePoint, OneDrive and Teams. 
	
	 
		Get started: https://learn.microsoft.com/en-us/purview/data-classification-content-explorer
		 
		Configure Permissions: https://compliance.microsoft.com/compliancecenterpermissions
		 
			Required: Content Explorer List Viewer and/or Content Explorer Content Viewer
		 
				Access Content Explorer:https://compliance.microsoft.com/dataclassification/contentexplorerand navigate through the structure,
		 
		Coming Soon to Security and CompliancePowerShell- Export Content Explorer data
		 
			Export-ContentExplorerData
		 
		UtilizeSharePoint Admin CenterActive Sites list to confirm which sites that are public (open to all internal users)
	 
		Confirm public requirement with container owner(s) and convert to private where acceptable
		 
		Consider planning to apply Sensitivity Labels to containers to force all M365 Groups, SharePoint sites and Teams to be private by default (please let me know if you would like to discuss this strategy)
		 
		Consider planning to apply Sensitivity Labels to files to classify and encrypt (control access) files that have sensitive information in them
	 
	Consider DLP policies to prevent sensitive data from being shared inappropriately
	 
	Consider using the Content Searchtool to locate sensitive information in SharePoint and/or OneDrive(requires eDiscovery permissions)
 

CDO reviewed",Communications,CDO - Configure
"Issues Addressed: 

Administrators often encounter challenges in efficiently accessing our guides, leading to knowledge gaps, reduced efficiency, and frustration. This proposal directly tackles these issues by harnessing AI to create a personalized recommendation system for wizards and guides, curated to match administrators' specific roles and needs. Additionally, it addresses the challenge of enabling on-the-job learning for administrators, enhancing their skills while they work. 
Tailored Guidance for Admins: 

I've been exploring ways to elevate the value we provide to our administrators. One exciting avenue is utilizing AI to create a personalized recommendation system for our IPE wizards and guides that align with their specific roles in the admin portal. 

Simplifying the Vision: 

	Smart Recommendations (Classification Model): By tapping into machine learning, specifically classification models, we can predict which wizards and guides suit administrators' roles and access levels. This approach ensures admins find content tailored to their responsibilities, saving time and enhancing their effectiveness. 
	 
	Relevant Content Boost (Content-Based Filtering): Introducing a content-based recommendation system can align administrators' profile attributes with the content they need. This harmony between user traits and content relevance can redefine the admin experience, making their journey smoother. 
	 
	Insight-Driven Choices (Matrix Factorization): Matrix factorization helps us uncover hidden patterns in how administrators interact with wizards and guides. Armed with this knowledge, we can anticipate their preferences and offer tailored recommendations that address their unique needs.
	 
Advantages for Our Customers: 
 
	Engaged Admins, Stronger Enterprise: Tailoring content for admins reinforces their engagement, directly contributing to theirenterprise's achievements.
	 
	Efficiency in Action: Administrators will navigate to pertinent content seamlessly, boosting efficiency and overall productivity.
	 
	Nurturing Excellence: Aligning content with admins' profiles fosters a culture of excellence, driving our enterprise's proficiency.
	 
	
I'm genuinely excited about the potential of this initiative. Please add any additional feedback or thoughts you may have on this item. 

 CDO reviewed ",Communications,CDO - Learn
"


I suggest adding certain visualization to Migration Reporting on FastTrack Portal, like charts that we had in PBI reporting at the top of each page. 


This visualization would be used for overall summary in each migration project and it would be visually more appealing than having plain numbers as we have now. 

 

CDO reviewed 



 



 
",Migration,CDO - Prepare
"
What idea are you suggesting? 

Fatalerror Report only indicates the TaskID in line entry with message “The SPO site has exceeded its maximum file storage limit.” and not mentioning which site is failed. The customer has to copy the TaskId and search by this TaskId in other logfiles / reports. 


How would you implement this? 
Include in the FatalError Report a column for the source sharepoint site / OD4B site 

What measurable impact would this idea have? (hours per week or month) 


30 minutes 

CDO reviewed",Migration,CDO - Prepare
CDO reviewed,Playbook & Process,CDO - Configure
CDO reviewed,Learn,CDO - Configure
"
We (FM &amp; FTA) currently don't have a Teams Phone BVD in the playbook. There is only a very generic Teams BVD. 


See here : <a href=""https://fasttrack365-kb.powerappsportals.com/?id=KB-02211"">BVD List 

 

CDO reviewed 
",Playbook & Process,CDO - Learn
"
We have multiple customers currently using Mimecast for email security and we would benefit from knowing more about the competing solution as a background in customer conversations 

 

CDO reviewed 
",Documentation,CDO - Learn
"
What idea are you suggesting? 


The migration LearninG Center has an invalid link for migration pre-requisites 


Gmail &gt; Getting Started 

FastTrack Portal - Learning Center (microsoft.com) 


For detailed process refer Google Workspace migration prerequisites in Exchange Online.(THIS LINK IS NOT WORKING) 


How would you implement this? 


I believe the link should direct to Perform a Google Workspace migration to Microsoft 365 | Microsoft Learn 


What measurable impact would this idea have? (hours per week or month) 


Customers would be able to get to the correct link for further information. 

 

CDO reviewed 
",Migration,CDO - Prepare
"
What idea are you suggesting? 


Customers often ask for a list of tasks / requirements that are needed to setup for migrations. enable an exportable list of actions, and include an IPE Guide to help track progress. 


While this is available on the Learn portal, it doesn't provide a complete list that the FE / FTA / MigSME can show or help the customer understand ahead of time for customers to get approval for all changes in a single place. 


How would you implement this? 


  
	Provide an IPE link to provide and track all the requirements for migrations within the portal.
	  
		The existing ""Project Prequisites"" in the FTC migration project aren't granular enough, and cannot be exported or tracked to allow the customers to progress.
		 
		 
		
	 
	
	 
	 
	
 


What measurable impact would this idea have? (hours per week or month) 


Clarity on all the migration pre-requisites and who is responsible will accelerate readiness for migrations 

 

CDO reviewed 
",Communications,CDO - Prepare
"
What idea are you suggesting? 


The Customer facing powerrpoint for GDrive migration has a confusing message about accounts required. 


Playbook task 2467 


It detalis 


  
	One Google Workspace Admin and One SharePOint Admin account (credentials don't need to be shared_
	 
	One SharePoint Admin account
	 
	 
	
 


It is not clear if these are separate accounts, and the credentials for the SharePoint Admin account will need to be shared with the Migration team. 


For customers who have very strict access controls over adminiostrative accounts, this needs clarification. 
 
A checklist of the exact accounts (and if possible RBAC perrmissions for the SPO role) 


 


How would you implement this? 


  
	Provide an exportable checklist of accounts and permissions required.
	 
	Clarify which accounts are needed in the customer documentation
	 
	 
	
 


What measurable impact would this idea have? (hours per week or month) 


Customers need clarity on the access that migrations need to get approvals. Being able to clearly articulate what each account is used for and what access it needs provides assurance and enables this process to be expedited 

 

CDO reviewed 
",Migration,CDO - Prepare
